timestamp,total_sentences,avg_lcs,avg_semantic,avg_final,max_score,suspicious_count,runtime
2026-05-16 16:06:42,33,0.1089,0.0,0.0654,0.16,0,474.8
2026-05-16 16:17:22,33,0.1004,0.0,0.0602,0.1067,0,489.8
2026-05-16 19:21:08,906,0.0832,0.0181,0.0572,0.7099,1,10675.71
2026-05-18 20:55:48,936,0.0722,0.0117,0.048,0.4634,0,8758.79
2026-06-09 16:55:25,14,0.215,0.7804,0.3834,0.5163,67593.5
2026-06-09 16:55:25,12,0.2172,0.7792,0.3893,0.5163,11453.7
2026-06-10 00:35:34,5,0.1547,0.8271,0.3647,0.3807,486.52
